source,definition,rows,target_rate,prediction_mean,auc_exp016,log_loss,calibration_gap,weak_candidate,weak_reasons,severity,auc_exp022,auc_exp019,auc_exp003,auc_exp006,auc_exp008,best_model,best_model_auc,best_alt_delta_vs_exp016
screen_social_grid,screen<=4 & 2<social<=3,1936,0.6885330578512396,0.6924278762341624,,0.4822383467689051,0.0038948183829227156,False,low_auc+high_logloss,0.43006531139207527,,,,,,,,
screen_social_grid,4<screen<=5 & 3<social<=4,714,0.7507002801120448,0.7590371985275414,,0.4250802443155925,0.008336918415496553,False,low_auc+high_logloss,0.3608971421326008,,,,,,,,
screen_social_grid,5<screen<=6 & 3<social<=4,3309,0.7938954366878211,0.7963729167855819,,0.3869506460297625,0.0024774800977607203,False,low_auc+high_logloss,0.31943220432321995,,,,,,,,
screen_social_grid,7<screen<=8 & social<=1,3326,0.46873120865904994,0.4661251084798677,,0.37366597568553167,0.0026061001791822247,False,low_auc+high_logloss+mixed_classes,0.28425233148059065,,,,,,,,
screen_social_grid,5<screen<=6 & social>4,247,0.8866396761133604,0.9169941625373084,,0.2691569817131559,0.030354486423948,False,low_auc,0.19925500469511423,,,,,,,,
screen_social_grid,6<screen<=7 & social>4,1421,0.9500351864883885,0.9579756243978899,,0.151648830800517,0.007940437909501386,False,low_auc,0.11424728042073695,,,,,,,,
weekend_decile,"(8.68, 9.58]",57972,0.746412060994963,0.747421459303045,,0.28903992185303035,0.001009398308081999,False,,0.11356108997621225,,,,,,,,
screen_social_grid,7<screen<=8 & social>4,3825,0.9738562091503268,0.9791311159671522,,0.08460834213120173,0.005274906816825409,False,low_auc,0.07870549623405565,,,,,,,,
screen_band,7.5<=screen<8,30927,0.8138196397969412,0.8157696578087473,,0.24005295598109763,0.001950018011806165,False,,0.058242173633466066,,,,,,,,
screen_social_grid,screen<=4 & social<=1,26989,0.09281559153729298,0.09065121216731137,,0.18078166953911032,0.002164379369981609,False,,0.05087377516704451,,,,,,,,
region_prediction_tertile,clear_positive_zone & prediction_tertile=low,99249,0.9302259972392669,0.9338281074362017,,0.14299146690216957,0.0036021101969347935,False,,0.04429854840808234,,,,,,,,
social_band,2.5<=social<3,68230,0.8754506815183937,0.8775086520864187,,0.20766237249405373,0.002057970568025036,False,,0.03979812155244378,,,,,,,,
screen_band,8<=screen<9,64899,0.9121404027797039,0.9150863231782275,,0.15992628067579978,0.0029459203985235938,False,,0.033433706235721505,,,,,,,,
social_band,3<=social<3.5,57578,0.9444753204348884,0.9464839102682301,,0.11893805090366143,0.002008589833341734,False,,0.027300818092695578,,,,,,,,
weekend_decile,"(9.58, 10.47]",58530,0.8679651460789338,0.8702668981956712,,0.1783980185341295,0.0023017521167373323,False,,0.01759133860286588,,,,,,,,
social_band,4<=social<4.5,31535,0.9901379419692405,0.9922141978720657,,0.033207541583871715,0.0020762559028251193,False,,0.013869427586425065,,,,,,,,
weekend_decile,"(10.47, 11.33]",57242,0.9485342930016422,0.950121369266882,,0.096666371004023,0.0015870762652397952,False,,0.009992967870994685,,,,,,,,
screen_social_grid,screen>8 & 3<social<=4,69422,0.9886779407104376,0.9899435852109104,,0.034892222272987605,0.00126564450047284,False,,0.009866350935996748,,,,,,,,
social_band,3.5<=social<4,47841,0.9784494471269414,0.9802447728319517,,0.05521303677224672,0.0017953257050102867,False,,0.007903037192400486,,,,,,,,
screen_social_grid,screen>8 & 2<social<=3,55730,0.9609007715772474,0.9623467681018137,,0.07858898395277077,0.0014459965245663398,False,,0.00440905472960984,,,,,,,,
weekend_decile,"(13.19, 17.56]",57826,0.9996887213364231,0.9998038156233848,,0.0020789217303808405,0.00011509428696176993,False,,0.003777737397118508,,,,,,,,
screen_social_grid,screen>8 & social<=1,12046,0.9409762576788976,0.9435871030543135,,0.09141327741199447,0.0026108453754158933,False,,0.0026108453754158933,,,,,,,,
screen_social_grid,screen>8 & 1<social<=2,38248,0.9494875549048316,0.9513813630101089,,0.08171877022803738,0.0018938081052772837,False,,0.0018938081052772837,,,,,,,,
social_band,social<1,74035,0.2627811170392382,0.26138226689008404,,0.18473728614201151,0.0013988501491541405,False,,0.0013988501491541405,,,,,,,,
weekend_decile,"(11.33, 12.08]",57843,0.9880538699583354,0.9890626574204293,,0.03126812547391072,0.0010087874620938742,False,,0.0010087874620938742,,,,,,,,
screen_band,screen>=9,219684,0.9951839915515013,0.995893112579201,,0.016373598160230332,0.0007091210276997106,False,,0.0007091210276997106,,,,,,,,
screen_social_grid,screen>8 & social>4,64483,0.9983251399593691,0.9988049602321549,,0.007307127855558902,0.00047982027278581363,False,,0.00047982027278581363,,,,,,,,
social_band,4.5<=social<5,23738,0.9990310893925352,0.9993855148536271,,0.005067177299325507,0.00035442546109198947,False,,0.00035442546109198947,,,,,,,,
weekend_decile,"(12.08, 13.19]",57399,0.9979616369623164,0.9982642027338824,,0.008440560466400631,0.00030256577156595466,False,,0.00030256577156595466,,,,,,,,
social_band,social>=5,23087,0.9996534846450383,0.9998496296231576,,0.0021581788321648346,0.00019614497811926146,False,,0.00019614497811926146,,,,,,,,
region_prediction_tertile,clear_positive_zone & prediction_tertile=high,99187,1.0,0.9999955077182239,,4.492305875998282e-06,4.49228177612504e-06,False,,4.49228177612504e-06,,,,,,,,
oof_quantile,q90-95,35656,1.0,0.9999974989017778,,2.5011021857619344e-06,2.5010982221962408e-06,False,,2.5010982221962408e-06,,,,,,,,
oof_quantile,q95-100,33183,1.0,0.9999997435794997,,2.5642055854051595e-07,2.5642050027752106e-07,False,,2.5642050027752106e-07,,,,,,,,
