label,spec,fold,auc,columns,nnz,csr_mb,peak_rss_gb,iterations,seconds
new_notifications_over_app_opens,"[('gaming_over_screen', 2), ('notifications_over_app_opens', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",4,0.9638909493351266,226044,10508805,82.28571319580078,1.3643951416015625,11,32.998607399873435
new_notifications_over_app_opens,"[('gaming_over_screen', 2), ('notifications_over_app_opens', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",5,0.9627854732196689,226123,10508824,82.28586196899414,1.3643951416015625,11,29.85661210003309
new_weekend_over_work,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_work', 2), ('work_over_screen', 2)]",1,0.9626200338986882,228294,10508805,82.28571319580078,1.3635368347167969,11,30.60386210004799
new_weekend_over_work,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_work', 2), ('work_over_screen', 2)]",2,0.9630961990989705,228055,10508805,82.28571319580078,1.368682861328125,11,32.02289039990865
new_weekend_over_work,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_work', 2), ('work_over_screen', 2)]",3,0.9632032766322437,228204,10508805,82.28571319580078,1.3686866760253906,11,32.3589557998348
new_weekend_over_work,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_work', 2), ('work_over_screen', 2)]",4,0.9636718842870291,228167,10508805,82.28571319580078,1.3686866760253906,11,32.84042420005426
new_weekend_over_work,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_work', 2), ('work_over_screen', 2)]",5,0.9627625867179719,228259,10508824,82.28586196899414,1.3686866760253906,11,32.341683299979195
forward2_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2), ('work_over_social', 2)]",1,0.9629191510302422,227978,11061900,86.5054931640625,1.4002418518066406,12,33.770533999893814
forward2_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2), ('work_over_social', 2)]",2,0.9635172670600202,227780,11061900,86.5054931640625,1.4053878784179688,12,33.86683030007407
forward2_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2), ('work_over_social', 2)]",3,0.9635428148469312,227882,11061900,86.5054931640625,1.4053916931152344,12,34.3737673999276
forward2_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2), ('work_over_social', 2)]",4,0.9641886324435447,227844,11061900,86.5054931640625,1.4053916931152344,12,36.65511070005596
forward2_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2), ('work_over_social', 2)]",5,0.9630632482610529,228001,11061920,86.50564956665039,1.4053916931152344,12,35.48736979998648
forward2_gaming_over_social,"[('gaming_over_screen', 2), ('gaming_over_social', 2), ('social_over_screen', 2), ('work_over_screen', 2), ('work_over_social', 2)]",1,0.9630298572611251,229883,11061900,86.5054931640625,1.4047050476074219,11,31.566442399984226
forward2_gaming_over_social,"[('gaming_over_screen', 2), ('gaming_over_social', 2), ('social_over_screen', 2), ('work_over_screen', 2), ('work_over_social', 2)]",2,0.9635678825963735,229667,11061900,86.5054931640625,1.40985107421875,12,39.25407559983432
