config,space,metric,signal_type,k,oof_auc,fold_mean,fold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,pearson_exp016,spearman_exp016,pearson_residual,spearman_residual
SPACE-C|euclidean|distance_mean|k=50,SPACE-C,euclidean,distance_mean,50,0.4508214752366134,0.45082132408979947,0.001563336035323238,0.4503971297078023,0.4498502906613553,0.450708599938868,0.453805500141188,0.44934509999978367,-0.09049596401079263,-0.20951401067267553,0.0016494319254898124,0.08752020342321314
SPACE-C|euclidean|distance_mean|k=100,SPACE-C,euclidean,distance_mean,100,0.4506641668708157,0.450662361881886,0.0014576848825979963,0.4503414517044229,0.4496930404592768,0.45036333184776706,0.45348546053089117,0.44942852486707197,-0.08971624241599008,-0.21710297964959935,0.0014869796744498367,0.09485420476496965
SPACE-A|manhattan|distance_min|k=1,SPACE-A,manhattan,distance_min,1,0.39913458910747746,0.3991334373409872,0.001641224249042997,0.3977512583886025,0.399681204630584,0.3980858171025706,0.40212251180097713,0.3980263947822018,-0.18841686414277312,-0.3327494774543344,0.0016064481397798861,0.0831186760294965
SPACE-A|euclidean|distance_min|k=1,SPACE-A,euclidean,distance_min,1,0.39750019045322427,0.3974986740198883,0.0016479151755590068,0.3959916508544494,0.39772947656160035,0.396223795654971,0.40055949178879735,0.39698895523962363,-0.19178510828537643,-0.3366695779421387,0.001674954294101154,0.08310503145000797
SPACE-A|manhattan|distance_mean|k=5,SPACE-A,manhattan,distance_mean,5,0.38189556740883607,0.381896531967383,0.001499689824969192,0.38045871375779433,0.3819415323725376,0.38138583825859834,0.384732898494234,0.3809636769537507,-0.21305139342343724,-0.3930869109879629,0.0018951992761922158,0.10081149407987822
SPACE-A|euclidean|distance_mean|k=5,SPACE-A,euclidean,distance_mean,5,0.380053444467556,0.38005501044974144,0.0018298378659574125,0.3778622720261434,0.38009559091154144,0.37957265707136467,0.3834006638530001,0.37934386838665757,-0.2183693131408312,-0.3994044229486376,0.002029106335690443,0.10279219875691693
SPACE-A|manhattan|distance_mean|k=200,SPACE-A,manhattan,distance_mean,200,0.3799342107114981,0.37993320997126434,0.002059484583282664,0.3786048740058887,0.38008785703092784,0.3787014555402065,0.3838753379432382,0.37839652533606016,-0.22018213633173842,-0.4217952557899643,0.001177751929870755,0.12514788445642291
SPACE-B|manhattan|distance_min|k=1,SPACE-B,manhattan,distance_min,1,0.37979227758644235,0.3797926199544424,0.001151363184314925,0.37820294259137144,0.37944130567725326,0.38053855170191475,0.3815535913100614,0.3792267084916109,-0.2253072183741349,-0.36091728783351446,0.006436999151124186,0.06183464842680161
SPACE-A|manhattan|distance_mean|k=10,SPACE-A,manhattan,distance_mean,10,0.37885361252237904,0.37885390837502114,0.0015725585106947657,0.37752623818646536,0.378861080684529,0.3783391845574849,0.381851541077771,0.37769149736885554,-0.21764364210618212,-0.40650013685767866,0.0019360573600966866,0.1067504942232537
SPACE-A|manhattan|distance_mean|k=100,SPACE-A,manhattan,distance_mean,100,0.37864829347154505,0.3786473734174435,0.001990161433399774,0.37716741550672317,0.3788234162647663,0.37758595832353004,0.38244331716237556,0.3772167598298225,-0.22074560583806682,-0.4213837383170836,0.0013594781494203209,0.12145140212887101
SPACE-A|euclidean|distance_mean|k=200,SPACE-A,euclidean,distance_mean,200,0.37835172147652746,0.3783512774626304,0.002156026564071593,0.3768076195586248,0.3789128567342979,0.3771659323888461,0.38233241023929515,0.3765375683920882,-0.22530666391928258,-0.4260123003762124,0.0011265941170614836,0.12565264110877655
SPACE-A|manhattan|distance_mean|k=50,SPACE-A,manhattan,distance_mean,50,0.37776111975184207,0.3777608317152219,0.0018767495249232503,0.37626261211391476,0.377932306879515,0.37687695998147214,0.3813270580257634,0.3764052215754443,-0.22092109632981918,-0.41976698364713244,0.0015836657400908395,0.11753104077019977
SPACE-A|manhattan|distance_mean|k=20,SPACE-A,manhattan,distance_mean,20,0.3776272021271178,0.3776278317615994,0.001695135480383558,0.3762340539440405,0.3776663686590509,0.3769902412124977,0.38086379091467715,0.37638470407773095,-0.2200092752056664,-0.41450681416969076,0.0018636661364693895,0.11180146799700108
SPACE-A|euclidean|distance_mean|k=100,SPACE-A,euclidean,distance_mean,100,0.37716532995835494,0.3771652264150779,0.002136976431825572,0.3753646479864373,0.3777858779449096,0.3761047057929705,0.38107574978443254,0.37549515056663935,-0.22575140554484976,-0.42624468642921604,0.0013186578536055823,0.12287592890064655
