candidate,method,weights,auc,folds,std,cat_weight
seed_ensemble,probability,"{42: 0.4, 2026: 0.0, 777: 0.6}",0.9657622909112836,"[0.9650936924737206, 0.9657103206461142, 0.9659501711643748, 0.9665187586736979, 0.9655416706955847]",0.0004703059701605525,
seed_ensemble,rank,"{42: 0.4, 2026: 0.0, 777: 0.6}",0.965760465197193,"[0.9650923664082713, 0.9657084889175174, 0.9659468162302054, 0.9665169854274668, 0.965540479596816]",0.0004699998247256996,
seed_ensemble,probability,"{42: 0.4, 2026: 0.1, 777: 0.5}",0.9657794579234397,"[0.9651076892956112, 0.9657245512706092, 0.9659735675360028, 0.966539062837794, 0.9655541841465833]",0.00047322587600911114,
seed_ensemble,rank,"{42: 0.4, 2026: 0.1, 777: 0.5}",0.965777322589625,"[0.9651062521009806, 0.9657221455014348, 0.9659703151045487, 0.9665364119754932, 0.9655530203229492]",0.0004726846635424102,
seed_ensemble,probability,"{42: 0.4, 2026: 0.2, 777: 0.4}",0.9657902889355301,"[0.9651161286435513, 0.965732530878648, 0.9659893962133499, 0.9665530000355804, 0.9655612773306759]",0.0004757407234901972,
seed_ensemble,rank,"{42: 0.4, 2026: 0.2, 777: 0.4}",0.9657879543299415,"[0.9651145568506772, 0.965729340608494, 0.9659859330677744, 0.9665501623087999, 0.9655601556249233]",0.00047517334493875726,
seed_ensemble,probability,"{42: 0.4, 2026: 0.3, 777: 0.3}",0.9657946626236729,"[0.9651181221183885, 0.9657347788342363, 0.9659976662034622, 0.9665604846366944, 0.965562002595524]",0.0004781459207968337,
seed_ensemble,rank,"{42: 0.4, 2026: 0.3, 777: 0.3}",0.9657922826681518,"[0.9651166084273006, 0.9657315644607208, 0.9659941377250916, 0.9665577331745754, 0.9655609459695103]",0.0004775769999724616,
seed_ensemble,probability,"{42: 0.4, 2026: 0.4, 777: 0.2}",0.9657925013292167,"[0.9651148975960895, 0.9657313830512124, 0.965997944533855, 0.9665623971749815, 0.9655570007164906]",0.0004802684824189058,
seed_ensemble,rank,"{42: 0.4, 2026: 0.4, 777: 0.2}",0.9657902478328725,"[0.9651135214210206, 0.9657279970363927, 0.9659946948933165, 0.9665599282296283, 0.9655560849062862]",0.000479765024373628,
seed_ensemble,probability,"{42: 0.4, 2026: 0.5, 777: 0.1}",0.9657838115930658,"[0.9651058920728791, 0.9657209531462105, 0.9659904847972609, 0.9665574458371371, 0.9655457241611136]",0.0004819616222222697,
seed_ensemble,rank,"{42: 0.4, 2026: 0.5, 777: 0.1}",0.9657817789651515,"[0.9651049652352083, 0.9657174771877957, 0.9659876441527052, 0.9665555605737063, 0.9655449959784603]",0.0004815382784928452,
seed_ensemble,probability,"{42: 0.4, 2026: 0.6, 777: 0.0}",0.9657686591896217,"[0.9650908793577406, 0.9657045250563263, 0.9659752049153919, 0.9665460567452165, 0.9655286628669203]",0.000483343395969109,
seed_ensemble,rank,"{42: 0.4, 2026: 0.6, 777: 0.0}",0.9657669627256293,"[0.9650901287283268, 0.965701260953771, 0.9659730292698874, 0.9665447020094533, 0.9655279543477359]",0.00048309145690198516,
seed_ensemble,probability,"{42: 0.5, 2026: 0.0, 777: 0.5}",0.965768423458268,"[0.9650976658493965, 0.9657183025376294, 0.9659569184563536, 0.9665239688055262, 0.965547494000172]",0.0004706624780841952,
seed_ensemble,rank,"{42: 0.5, 2026: 0.0, 777: 0.5}",0.9657665854844217,"[0.9650961940220414, 0.9657163747761668, 0.965953426640464, 0.9665221986039305, 0.9655466488515944]",0.0004703568901746233,
seed_ensemble,probability,"{42: 0.5, 2026: 0.1, 777: 0.4}",0.965782364469974,"[0.9651085870823888, 0.965729729560629, 0.9659765293316639, 0.9665409748686419, 0.9655575950606945]",0.0004733829130101565,
seed_ensemble,rank,"{42: 0.5, 2026: 0.1, 777: 0.4}",0.9657802252999113,"[0.9651070037452728, 0.9657271354046572, 0.9659728648595918, 0.9665384997071588, 0.965556395335372]",0.0004729134400514676,
seed_ensemble,probability,"{42: 0.5, 2026: 0.2, 777: 0.3}",0.9657898494618539,"[0.9651134715651206, 0.9657346909203973, 0.9659883564704606, 0.9665514463836566, 0.9655611551634468]",0.0004758708872285218,
seed_ensemble,rank,"{42: 0.5, 2026: 0.2, 777: 0.3}",0.9657876241893348,"[0.9651119941559344, 0.9657316915742366, 0.9659848158135496, 0.9665490770232438, 0.9655603257456441]",0.0004753869849945329,
seed_ensemble,probability,"{42: 0.5, 2026: 0.3, 777: 0.2}",0.9657908306482618,"[0.9651133504140155, 0.9657347218741876, 0.9659923708218506, 0.9665562959799445, 0.9655586936777287]",0.0004780314892455578,
seed_ensemble,rank,"{42: 0.5, 2026: 0.3, 777: 0.2}",0.9657885896400215,"[0.9651121989076457, 0.9657314275790008, 0.9659888126582876, 0.9665539582076207, 0.9655579652413534]",0.00047745940948640963,
seed_ensemble,probability,"{42: 0.5, 2026: 0.4, 777: 0.1}",0.9657852959521207,"[0.9651075167662886, 0.9657273686998223, 0.9659883601493947, 0.9665549767649244, 0.9655506429461336]",0.00047988430025426,
seed_ensemble,rank,"{42: 0.5, 2026: 0.4, 777: 0.1}",0.9657832928217065,"[0.9651060531848202, 0.9657240793521675, 0.9659854625447903, 0.9665528429831527, 0.9655500820932572]",0.00047950520477970916,
seed_ensemble,probability,"{42: 0.5, 2026: 0.5, 777: 0.0}",0.9657732469261977,"[0.9650948581883878, 0.9657141008143205, 0.9659765586362767, 0.9665469247199417, 0.9655369196209249]",0.00048155397647215467,
seed_ensemble,rank,"{42: 0.5, 2026: 0.5, 777: 0.0}",0.9657715845824858,"[0.9650939905942417, 0.9657108832693104, 0.9659744649422007, 0.9665453536882262, 0.9655362941957542]",0.0004812602249145924,
seed_ensemble,probability,"{42: 0.6, 2026: 0.0, 777: 0.4}",0.9657680997621518,"[0.9650950719471443, 0.9657197668802566, 0.9659566453272125, 0.9665225317377552, 0.9655475235588058]",0.00047088707522270417,
seed_ensemble,rank,"{42: 0.6, 2026: 0.0, 777: 0.4}",0.9657663189362233,"[0.9650936662137428, 0.9657179951563433, 0.9659531438699784, 0.9665207667374112, 0.9655468881116089]",0.00047054046592335933,
seed_ensemble,probability,"{42: 0.6, 2026: 0.1, 777: 0.3}",0.9657787414381478,"[0.9651033056553547, 0.9657284835437113, 0.9659720877164804, 0.9665364653834673, 0.9655545234999976]",0.0004734007031257388,
seed_ensemble,rank,"{42: 0.6, 2026: 0.1, 777: 0.3}",0.9657767252462223,"[0.9651016312329053, 0.9657260031809765, 0.9659688732161053, 0.9665343492352076, 0.96555401605564]",0.00047304094504774144,
seed_ensemble,probability,"{42: 0.6, 2026: 0.2, 777: 0.2}",0.9657828565804244,"[0.9651054429892006, 0.9657309877560875, 0.9659802396001224, 0.966544341727632, 0.9655553626861041]",0.0004758469987665243,
seed_ensemble,rank,"{42: 0.6, 2026: 0.2, 777: 0.2}",0.9657808413729327,"[0.9651041112150605, 0.965728171722332, 0.9659767779768643, 0.9665422510781913, 0.9655548132507258]",0.00047538650941807706,
seed_ensemble,probability,"{42: 0.6, 2026: 0.3, 777: 0.1}",0.9657804888085427,"[0.9651024791637826, 0.9657275473184155, 0.9659794486292932, 0.9665459864648895, 0.965549822281746]",0.0004777608158031311,
seed_ensemble,rank,"{42: 0.6, 2026: 0.3, 777: 0.1}",0.9657785456930831,"[0.9651012290873513, 0.9657244334178586, 0.9659767978938523, 0.9665438789430958, 0.965549342619967]",0.00047733785634749355,
seed_ensemble,probability,"{42: 0.6, 2026: 0.4, 777: 0.0}",0.9657716431563103,"[0.9650929717832187, 0.9657168936327332, 0.9659719017400191, 0.9665412589077254, 0.9655383282864618]",0.00047967449515916083,
seed_ensemble,rank,"{42: 0.6, 2026: 0.4, 777: 0.0}",0.9657700289331543,"[0.9650920690489092, 0.9657137435771346, 0.9659696852456606, 0.9665396116332721, 0.9655380571843136]",0.00047931761643549774,
seed_ensemble,probability,"{42: 0.7, 2026: 0.0, 777: 0.3}",0.9657613557040339,"[0.9650860178366318, 0.9657150712917613, 0.9659498372693911, 0.9665150680685076, 0.9655417747216779]",0.000471178675734491,
seed_ensemble,rank,"{42: 0.7, 2026: 0.0, 777: 0.3}",0.9657597437846566,"[0.9650844197837796, 0.965713511677427, 0.9659463490055761, 0.9665137283022002, 0.9655412063839972]",0.0004710143567466806,
seed_ensemble,probability,"{42: 0.7, 2026: 0.1, 777: 0.2}",0.9657686114800922,"[0.9650913224790088, 0.9657207963475025, 0.9659609890066334, 0.9665261464807873, 0.9655455301905078]",0.000473632712779509,
